subj,tokprodfr,exchprodfr,price,exp1,exp1cond,exp2,exp2cond,exp3,exp3cond,exp4,exp4cond,exp5,exp5cond,exp6,exp6cond,exp7,exp7cond,freetoken,wage,intrft,intcrit,taxloss,taxcrit,tokprodresp,exchprodresp,tokexchresp,rft,tokennum,inttok,taxtok
1,1,200,1,,,,,,,,,,,,,7,4,,,,,5,6,335,1400,118,118,6,,217
1,1,200,1,,,,,,,,,,,,,7,4,,,,,5,6,140,1200,85,85,8,,55
1,1,200,1,,,,,,,,,,,,,7,2,,,,,1,6,136,1000,128,128,0,,8
1,1,200,1,,,,,,,,,,,,,7,2,,,,,1,6,143,1400,121,121,0,,22
1,1,200,1,,,,,,,,,,,,,7,2,,,,,1,6,149,1400,118,118,27,,31
1,1,200,1,,,,,,,,,,,,,7,2,,,,,1,6,140,1400,128,128,0,,12
1,1,200,1,,,,,,,,,,,,,7,2,,,,,1,6,150,1200,110,110,1,,40
1,1,200,1,,,,,,,,,,,,,7,5,,,,,2,6,105,1400,75,75,0,,30
1,1,200,1,,,,,,,,,,,,,7,5,,,,,2,6,108,1000,74,74,7,,34
1,1,200,1,,,,,,,,,,,,,7,5,,,,,2,6,122,1400,106,106,9,,16
1,1,200,1,,,,,,,,,,,,,7,5,,,,,2,6,154,1600,124,124,0,,30
1,1,200,1,,,,,,,,,,,,,7,5,,,,,2,6,175,2000,133,133,0,,42
1,1,200,1,,,,,,,,,,,,,7,6,,,,,,,120,1000,120,120,0,,0
1,1,200,1,,,,,,,,,,,,,7,6,,,,,,,135,800,135,135,0,,0
1,1,200,1,,,,,,,,,,,,,7,6,,,,,,,135,800,135,135,0,,0
1,1,200,1,,,,,,,,,,,,,7,6,,,,,,,121,1200,121,121,0,,0
1,1,200,1,,,,,,,,,,,,,7,6,,,,,,,117,1000,117,117,17,,0
1,1,200,1,,,,,,,,,,,,,7,8,,,,,2,12,91,600,91,91,16,,0
1,1,200,1,,,,,,,,,,,,,7,8,,,,,2,12,143,1000,107,107,4,,36
1,1,200,1,,,,,,,,,,,,,7,8,,,,,2,12,113,800,109,109,0,,4
1,1,200,1,,,,,,,,,,,,,7,8,,,,,2,12,143,1000,91,91,13,,52
1,1,200,1,,,,,,,,,,,,,7,8,,,,,2,12,74,600,70,70,14,,4
1,1,200,1,,,,,,,,,,,,,7,9,,,,,5,12,140,1000,120,120,0,,20
1,1,200,1,,,,,,,,,,,,,7,9,,,,,5,12,105,1000,75,75,7,,30
1,1,200,1,,,,,,,,,,,,,7,9,,,,,5,12,142,1400,112,112,13,,30
1,1,200,1,,,,,,,,,,,,,7,9,,,,,5,12,131,1200,91,91,2,,40
1,1,200,1,,,,,,,,,,,,,7,9,,,,,5,12,124,1200,104,104,10,,20
1,1,200,1,,,,,,,,,,,,,7,7,,,,,1,12,118,2000,117,117,0,,1
